Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
Kyrie Irving30DAL,27,5,6,1.3,0.6,0.51,0.392,0.947,916.8
Damian Lillard30POR,28.8,4.2,7.5,0.9,0.3,0.451,0.391,0.928,916.48
Dirk Nowitzki*23DAL,23.4,9.9,2.4,1.1,1,0.477,0.397,0.853,915.8
Stephen Curry26GSW,23.8,4.3,7.7,2,0.2,0.487,0.443,0.914,915.6
James Harden31BRK,24.6,8.5,10.9,1.3,0.8,0.471,0.366,0.856,915
Tim Duncan*22SAS,21.7,11.4,2.4,0.9,2.5,0.495,0.143,0.69,911.76
Chris Bosh*21TOR,22.5,9.2,2.6,0.7,1.1,0.505,0,0.816,911.76
DeMarcus Cousins26SAC,27.8,10.6,4.8,1.4,1.3,0.452,0.356,0.77,911.6
Dominique Wilkins*26ATL,30.3,7.9,2.6,1.8,0.6,0.468,0.186,0.818,911.03
Clyde Drexler*25POR,27,6.6,5.8,2.5,0.6,0.506,0.212,0.811,910.98
Larry Bird*26BOS,23.6,11,5.8,1.9,0.9,0.504,0.286,0.84,908.57
Gary Payton*32SEA,23.1,4.6,8.1,1.6,0.3,0.456,0.375,0.766,908.31
Patrick Ewing*28NYK,26.6,11.2,3,1,3.2,0.514,0,0.745,907.71
Dwight Howard23ORL,20.6,13.8,1.4,1,2.9,0.572,0,0.594,906.78
Chris Paul28LAC,19.1,4.3,10.7,2.5,0.1,0.467,0.368,0.855,906.5
Dominique Wilkins*33ATL,29.9,6.8,3.2,1,0.4,0.468,0.38,0.828,906.39
Anfernee Hardaway24ORL,21.7,4.3,7.1,2,0.5,0.513,0.314,0.767,905.28
Chris Paul29LAC,19.1,4.6,10.2,1.9,0.2,0.485,0.398,0.9,904.8
Chris Bosh*25TOR,24,10.8,2.4,0.6,1,0.518,0.364,0.797,902.5
George Gervin*27SAS,33.1,5.2,2.6,1.4,1,0.528,0.314,0.852,902.4
Stephen Curry29GSW,26.4,5.1,6.1,1.6,0.2,0.495,0.423,0.921,902.4
Tim Duncan*28SAS,20.3,11.1,2.7,0.7,2.6,0.496,0.333,0.67,901.8
LeBron James34LAL,27.4,8.5,8.3,1.3,0.6,0.51,0.339,0.665,901.12
Allen Iverson*27PHI,27.6,4.2,5.5,2.7,0.2,0.414,0.277,0.774,901
Chris Paul24NOH,18.7,4.2,10.7,2.1,0.2,0.493,0.409,0.847,900.6
Zion Williamson20NOP,27,7.2,3.7,0.9,0.6,0.611,0.294,0.698,899.72
Stephen Curry32GSW,32,5.5,5.8,1.2,0.1,0.482,0.421,0.916,899.46
Russell Westbrook29OKC,25.4,10.1,10.3,1.8,0.3,0.449,0.298,0.737,899.08
Paul Pierce*24BOS,26.1,6.9,3.2,1.9,1,0.442,0.404,0.809,898.69
Chris Webber*26SAC,24.5,10.5,4.6,1.6,1.7,0.483,0.284,0.751,898.56
Karl-Anthony Towns24MIN,26.5,10.8,4.4,0.9,1.2,0.508,0.412,0.796,898.35
Shaquille O'Neal*31LAL,21.5,11.5,2.9,0.5,2.5,0.584,0,0.49,897.92
Alonzo Mourning*29MIA,21.7,9.5,1.6,0.5,3.7,0.551,0,0.711,897.84
Elton Brand24LAC,20,10.3,3.3,0.9,2.2,0.493,0,0.773,897.84
James Harden31TOT,24.6,7.9,10.8,1.2,0.8,0.466,0.362,0.861,896.7
Dominique Wilkins*28ATL,30.7,6.4,2.9,1.3,0.6,0.464,0.295,0.826,895.86
Yao Ming*26HOU,25,9.4,2,0.4,2,0.516,0,0.862,895.7
Isaiah Thomas27BOS,28.9,2.7,5.9,0.9,0.2,0.463,0.379,0.909,895.7
Hakeem Olajuwon*28HOU,21.2,13.8,2.3,2.2,3.9,0.508,0,0.769,894.24
John Stockton*27UTA,17.2,2.6,14.5,2.7,0.2,0.514,0.416,0.819,893.86
Hakeem Olajuwon*29HOU,21.6,12.1,2.2,1.8,4.3,0.502,0,0.766,893.49
Dominique Wilkins*31ATL,25.9,9,3.3,1.5,0.8,0.47,0.341,0.829,893
James Harden24HOU,25.4,4.7,6.1,1.6,0.4,0.456,0.366,0.866,893
Brandon Roy24POR,22.6,4.7,5.1,1.1,0.3,0.48,0.377,0.824,892.8
Elton Brand22LAC,18.2,11.6,2.4,1,2,0.527,0,0.742,892.08
Dwyane Wade*23MIA,24.1,5.2,6.8,1.6,1.1,0.478,0.289,0.762,891.66
Vince Carter23TOR,25.7,5.8,3.9,1.3,1.1,0.465,0.403,0.791,891.54
Kobe Bryant*25LAL,24,5.5,5.1,1.7,0.4,0.438,0.327,0.852,891.12
Julius Erving*31PHI,24.4,6.9,3.9,2,1.7,0.546,0.273,0.763,890.96
Jimmy Butler31MIA,21.5,6.9,7.1,2.1,0.3,0.497,0.245,0.863,890.4
Tim Duncan*30SAS,20,10.6,3.4,0.8,2.4,0.546,0.111,0.637,890.01
Pau Gasol*25MEM,20.4,8.9,4.6,0.6,1.9,0.503,0.25,0.689,889.84
Paul Pierce*25BOS,25.9,7.3,4.4,1.8,0.8,0.416,0.302,0.802,889.84
Elton Brand27LAC,20.5,9.3,2.9,1,2.2,0.533,1,0.761,889.35
Kevin Durant29GSW,26.4,6.8,5.4,0.7,1.8,0.516,0.419,0.889,889.2
Scottie Pippen*28CHI,22,8.7,5.6,2.9,0.8,0.491,0.32,0.66,888.56
Kobe Bryant*23LAL,25.2,5.5,5.5,1.5,0.4,0.469,0.25,0.829,888.56
Luka Dončić22DAL,28.4,9.1,8.7,1.2,0.6,0.457,0.353,0.744,888.54
Adrian Dantley*30UTA,29.8,5.2,3.5,0.8,0.1,0.563,0.091,0.791,888.06
Dominique Wilkins*30ATL,26.7,6.5,2.5,1.6,0.6,0.484,0.322,0.807,888.06
Kobe Bryant*34LAL,27.3,5.6,6,1.4,0.3,0.463,0.324,0.839,887.8
Anthony Davis22NOP,24.3,10.3,1.9,1.3,2,0.493,0.324,0.758,887.5
Kawhi Leonard29LAC,24.8,6.5,5.2,1.6,0.4,0.512,0.398,0.885,886.6
Trae Young23ATL,28.4,3.7,9.7,0.9,0.1,0.46,0.382,0.904,886.46
Karl-Anthony Towns22MIN,21.3,12.3,2.4,0.8,1.4,0.545,0.421,0.858,886.44
John Stockton*26UTA,17.1,3,13.6,3.2,0.2,0.538,0.242,0.863,886.23
Shawn Marion24PHO,21.2,9.5,2.4,2.3,1.2,0.452,0.387,0.851,886.08
Dirk Nowitzki*29DAL,23.6,8.6,3.5,0.7,0.9,0.479,0.359,0.879,885.6
John Stockton*28UTA,17.2,2.9,14.2,2.9,0.2,0.507,0.345,0.836,884.52
Grant Hill*26DET,21.1,7.1,6,1.6,0.5,0.479,0,0.752,884.3
